จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
เพชรบูรณ์,"544,997",14%,"839,233",649.40
น่าน,"475,346",12%,"808,102",588.23
เลย,"369,690",9%,"579,188",638.29
นครราชสีมา,"362,070",9%,"544,621",664.81
ตาก,"355,088",9%,"549,810",645.84
เชียงราย,"263,293",7%,"397,570",662.26
แพร่,"190,617",5%,"316,077",603.07
พิษณุโลก,"174,074",4%,"267,458",650.85
พะเยา,"166,142",4%,"244,597",679.25
นครสวรรค์,"126,561",3%,"188,277",672.21
ลพบุรี,"118,046",3%,"207,253",569.57
สระบุรี,"106,544",3%,"141,299",754.03
ลำปาง,"102,217",3%,"154,372",662.15
เชียงใหม่,"96,535",2%,"148,110",651.78
อุตรดิตถ์,"86,076",2%,"147,751",582.57
อุทัยธานี,"80,986",2%,"97,900",827.23
สระแก้ว,"63,693",2%,"97,533",653.04
ลำพูน,"57,794",1%,"85,613",675.06
กาญจนบุรี,"57,058",1%,"84,195",677.69
ชัยภูมิ,"41,422",1%,"76,472",541.66
แม่ฮ่องสอน,"31,994",1%,"57,282",558.53
สุโขทัย,"31,923",1%,"52,729",605.42
สุพรรณบุรี,"31,157",1%,"43,364",718.50
กำแพงเพชร,"26,822",1%,"37,857",708.51
ปราจีนบุรี,"12,789",0%,"19,515",655.34
พิจิตร,"12,160",0%,"18,444",659.29
หนองบัวลำภู,"7,274",0%,"11,513",631.81
ขอนแก่น,"6,886",0%,"11,040",623.73
จันทบุรี,"6,835",0%,"12,198",560.34
อุบลราชธานี,"6,492",0%,"8,664",749.31
ชัยนาท,"5,204",0%,"8,484",613.39
เพชรบุรี,"3,217",0%,"6,062",530.68
ศรีสะเกษ,"2,260",0%,"2,942",768.18
ฉะเชิงเทรา,"2,057",0%,"3,107",662.05
ราชบุรี,"1,737",0%,"2,841",611.40
ประจวบคีรีขันธ์,"1,165",0%,"1,862",625.67
หนองคาย,743,0%,"1,067",696.34
อุดรธานี,183,0%,314,582.80
กาฬสินธุ์,26,0%,40,650.00
ชลบุรี,25,0%,40,625.00
